ID,y_trust,c_age,c_male,c_education,c_income,x_threat
686,NA,7,1,0,NA,NA
687,5,68,0,6,NA,0
688,NA,NA,NA,NA,NA,NA
689,NA,NA,NA,NA,NA,NA
690,6,76,0,4,NA,0
691,NA,NA,NA,NA,NA,NA
692,7,56,0,6,3,0
693,NA,29,1,6,2,NA
694,NA,NA,NA,NA,NA,NA
695,NA,NA,NA,NA,NA,NA
696,NA,NA,NA,NA,NA,NA
697,NA,NA,NA,NA,NA,NA
698,NA,NA,NA,NA,NA,NA
699,7,38,0,4,1,0
700,6,33,1,4,2,0
701,NA,8,1,0,NA,NA
702,NA,NA,NA,NA,NA,NA
703,NA,NA,NA,NA,NA,NA
704,NA,NA,NA,NA,NA,NA
705,NA,NA,NA,NA,NA,NA
706,NA,NA,NA,NA,NA,NA
707,NA,NA,NA,NA,NA,NA
708,NA,NA,NA,NA,NA,NA
709,NA,NA,NA,NA,NA,NA
710,NA,NA,NA,NA,NA,NA
711,NA,NA,NA,NA,NA,NA
712,NA,28,0,8,NA,NA
713,9,68,0,6,NA,0
714,9,66,1,10,NA,0
715,NA,NA,NA,NA,NA,NA
716,NA,NA,NA,NA,NA,NA
717,NA,NA,NA,NA,NA,NA
718,NA,NA,NA,NA,NA,NA
719,NA,NA,NA,NA,NA,NA
720,NA,NA,NA,NA,NA,NA
721,NA,NA,NA,NA,NA,NA
722,5,74,1,4,NA,0
723,6,74,0,4,NA,0
724,3,34,0,4,1,1
725,NA,NA,NA,NA,NA,NA
726,NA,NA,NA,NA,NA,NA
727,NA,NA,NA,NA,NA,NA
728,NA,54,1,1,NA,NA
729,7,53,0,4,0,0
730,NA,26,0,10,NA,NA
731,NA,21,1,4,NA,NA
732,NA,NA,NA,NA,NA,NA
733,NA,47,1,9,NA,NA
734,NA,NA,NA,NA,NA,NA
735,NA,NA,NA,NA,NA,NA
736,NA,NA,NA,NA,NA,NA
737,NA,NA,NA,NA,NA,NA
738,5,39,1,4,3,0
739,1,39,0,4,0,0
740,5,67,1,1,NA,0
741,8,67,0,7,NA,0
742,5,60,0,2,0,0
743,7,61,1,4,2,0
744,NA,65,1,4,NA,NA
745,5,60,0,4,NA,0
746,NA,NA,NA,NA,NA,NA
747,NA,NA,NA,NA,NA,NA
748,NA,NA,NA,NA,NA,NA
749,NA,NA,NA,NA,NA,NA
750,NA,NA,NA,NA,NA,NA
751,NA,NA,NA,NA,NA,NA
752,NA,40,1,9,NA,NA
753,2,34,0,3,NA,0
754,NA,7,0,0,NA,NA
755,5,33,1,4,NA,0
756,NA,NA,NA,NA,NA,NA
757,NA,43,1,4,NA,NA
758,7,41,0,4,2,0
759,NA,17,1,1,NA,NA
760,NA,15,0,0,NA,NA
761,NA,12,1,0,NA,NA
762,5,33,0,4,NA,0
763,NA,NA,NA,NA,NA,NA
